,All Items,Food,Food Excl Food Serving Services,Bread & Cereals,Rice,Flour,Bread,Noodles & Pasta,Biscuits & Cookies,Cakes & Pastries,Other Cereals,Meat,"Pork, Chilled","Beef, Chilled","Mutton, Chilled","Poultry, Chilled","Meat, Frozen",Meat Preparations,Fish & Seafood,"Fish, Chilled","Fish, Frozen",Other Seafood,Seafood Preparations,"Milk, Cheese & Eggs",Formula Milk Powder,Other Milk & Dairy Products,Eggs,Oils & Fats,Butter & Other Fats,Cooking Oils,Fruits,"Tropical Fruits, Fresh","Citrus, Berries & Other Fruits, Fresh",Preserved Fruits & Nuts,Vegetables,"Leafy Vegetables, Fresh","Fruit Vegetables, Fresh","Root Vegetables, Fresh",Other Vegetables & Preparations,"Sugar, Preserves & Confectionery",Sugar,Confectionery & Ice-cream,Sugar Preserves & Spread,Non-alcoholic Beverages,Coffee & Tea,Soft Drinks,Other Beverages,Other Food,Food Serving Services,Restaurant Food,Fast Food,Hawker Food,Hawker Centres,Food Courts & Coffee Shops,Catered Food,Clothing & Footwear,Clothing,Men's Clothing,Women's Clothing,Children's Clothing,Other Articles & Related Services,Footwear,Men's Footwear,Women's Footwear,Children's Footwear,Housing & Utilities,Accommodation3,Utilities & Other Fuels,Water Supply,Refuse Collection,Electricity,Gas,Household Durables & Services,Household Durables,Furniture,Furnishings,Other Household Textiles,Household Appliances,Utensils & Others,Household Services & Supplies,Non-durable Household Goods,Domestic & Household Services,Health Care,Medicines & Health Products,Medicines & Vitamins,Medical Products,Outpatient Services,Fees At Polyclinics,Fees At General Practitioners (GP) Clinics,Fees At Specialist Outpatient Clinics,Dental Services,Paramedical Services,Hospital Services,Health Insurance,Transport,Private Transport,Cars,Motorcycles,Petrol,Other Private Transport,Public Transport,Bus & Train Fares,Point-to-point Transport Services2,Other Public Transport,Other Transport Services,Air Fares,Other Transport,Communication,Postage & Courier Services,Telecommunication Equipment,Telecommunication Services,Recreation & Culture,Recreational & Cultural Goods,Information Processing Equipment,Audio-visual Equipment & Others,Games & Toys,Pets & Related Products,Other Recreational & Cultural Goods,Recreational & Cultural Services,Sport Services & Other Fees,Cinema Tickets,Charges To Places Of Interest,Other Recreational & Cultural Services,"Newspapers, Books & Stationery",Newspapers & Magazines,Books & Stationery,Holiday Expenses,Package Tours,Hotels & Other Expenses,Education,Tuition & Other Fees,Primary Education,Secondary Education,"Other General, Vocational & Higher Education",Enrichment & Supplementary Courses,Textbooks & Study Guides,Miscellaneous Goods & Services,Personal Care,Hairdressing,Personal Grooming Services,Other Personal Care,Alcoholic Drinks & Tobacco,Spirits & Wine,Beer,Cigarettes,Personal Effects,Jewellery & Watches,Other Personal Effects,Social Services,Other Miscellaneous Services,All Items Less Imputed Rentals On Owner-occupied Accommodation3,All Items Less Accommodation3
1972,2.1,2.5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,1.8,na,na,na,na,na,na,na,na,na,1.6,na,na,na,na,na,na,1.0,na,na,na,na,na,na,na,na,na,-1.2,na,na,na,na,na,na,na,na,na,na,na,0.0,na,na,na,na,na,na,na,na,na,na,na,na,0.0,na,na,na,0.4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.4,na,na,na,na,na,na,3.5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1973,19.6,33.8,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,16.5,na,na,na,na,na,na,na,na,na,3.5,na,na,na,na,na,na,14.0,na,na,na,na,na,na,na,na,na,2.8,na,na,na,na,na,na,na,na,na,na,na,0.4,na,na,na,na,na,na,na,na,na,na,na,na,0.0,na,na,na,1.8,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2.9,na,na,na,na,na,na,10.3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1974,22.4,25.6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,10.1,na,na,na,na,na,na,na,na,na,14.1,na,na,na,na,na,na,25.4,na,na,na,na,na,na,na,na,na,17.4,na,na,na,na,na,na,na,na,na,na,na,40.4,na,na,na,na,na,na,na,na,na,na,na,na,0.0,na,na,na,8.2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,4.7,na,na,na,na,na,na,14.9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1975,2.6,1.1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,-1.3,na,na,na,na,na,na,na,na,na,7.0,na,na,na,na,na,na,4.4,na,na,na,na,na,na,na,na,na,6.5,na,na,na,na,na,na,na,na,na,na,na,4.2,na,na,na,na,na,na,na,na,na,na,na,na,0.0,na,na,na,1.0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2.1,na,na,na,na,na,na,7.9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1976,-1.9,-6.2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.7,na,na,na,na,na,na,na,na,na,6.7,na,na,na,na,na,na,-0.9,na,na,na,na,na,na,na,na,na,2.7,na,na,na,na,na,na,na,na,na,na,na,4.3,na,na,na,na,na,na,na,na,na,na,na,na,0.0,na,na,na,0.2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.9,na,na,na,na,na,na,2.3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1977,3.2,5.0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,1.5,na,na,na,na,na,na,na,na,na,1.1,na,na,na,na,na,na,2.0,na,na,na,na,na,na,na,na,na,1.6,na,na,na,na,na,na,na,na,na,na,na,0.6,na,na,na,na,na,na,na,na,na,na,na,na,0.0,na,na,na,0.0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,1.9,na,na,na,na,na,na,2.3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1978,4.1,5.7,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,1.9,na,na,na,na,na,na,na,na,na,0.0,na,na,na,na,na,na,1.9,na,na,na,na,na,na,na,na,na,4.3,na,na,na,na,na,na,na,na,na,na,na,5.3,na,na,na,na,na,na,na,na,na,na,na,na,3.1,na,na,na,7.3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,5.3,na,na,na,na,na,na,3.5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1979,4.0,2.5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,3.5,na,na,na,na,na,na,na,na,na,5.1,na,na,na,na,na,na,4.4,na,na,na,na,na,na,na,na,na,3.7,na,na,na,na,na,na,na,na,na,na,na,9.9,na,na,na,na,na,na,na,na,na,na,na,na,1.0,na,na,na,4.9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,4.4,na,na,na,na,na,na,1.4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1980,8.5,8.5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,1.9,na,na,na,na,na,na,na,na,na,13.6,na,na,na,na,na,na,5.8,na,na,na,na,na,na,na,na,na,7.1,na,na,na,na,na,na,na,na,na,na,na,14.3,na,na,na,na,na,na,na,na,na,na,na,na,0.0,na,na,na,3.1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,8.3,na,na,na,na,na,na,8.7,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1981,8.2,9.8,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,1.8,na,na,na,na,na,na,na,na,na,5.3,na,na,na,na,na,na,3.8,na,na,na,na,na,na,na,na,na,6.3,na,na,na,na,na,na,na,na,na,na,na,11.2,na,na,na,na,na,na,na,na,na,na,na,na,0.0,na,na,na,8.9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,6.4,na,na,na,na,na,na,7.5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1982,3.9,4.9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.4,na,na,na,na,na,na,na,na,na,3.7,na,na,na,na,na,na,2.0,na,na,na,na,na,na,na,na,na,5.3,na,na,na,na,na,na,na,na,na,na,na,2.8,na,na,na,na,na,na,na,na,na,na,na,na,0.0,na,na,na,1.2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,1.8,na,na,na,na,na,na,5.3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1983,1.0,0.2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,-0.1,na,na,na,na,na,na,na,na,na,0.8,na,na,na,na,na,na,1.1,na,na,na,na,na,na,na,na,na,7.9,na,na,na,na,na,na,na,na,na,na,na,1.2,na,na,na,na,na,na,na,na,na,na,na,na,0.0,na,na,na,0.2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,3.0,na,na,na,na,na,na,5.1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
