,All Items,Food,Food Excl Food Serving Services,Bread & Cereals,Rice,Flour,Bread,Noodles & Pasta,Biscuits & Cookies,Cakes & Pastries,Other Cereals,Meat,"Pork, Chilled","Beef, Chilled","Mutton, Chilled","Poultry, Chilled","Meat, Frozen",Meat Preparations,Fish & Seafood,"Fish, Chilled","Fish, Frozen",Other Seafood,Seafood Preparations,"Milk, Cheese & Eggs",Formula Milk Powder,Other Milk & Dairy Products,Eggs,Oils & Fats,Butter & Other Fats,Cooking Oils,Fruits,"Tropical Fruits, Fresh","Citrus, Berries & Other Fruits, Fresh",Preserved Fruits & Nuts,Vegetables,"Leafy Vegetables, Fresh","Fruit Vegetables, Fresh","Root Vegetables, Fresh",Other Vegetables & Preparations,"Sugar, Preserves & Confectionery",Sugar,Confectionery & Ice-cream,Sugar Preserves & Spread,Non-alcoholic Beverages,Coffee & Tea,Soft Drinks,Other Beverages,Other Food,Food Serving Services,Restaurant Food,Fast Food,Hawker Food,Hawker Centres,Food Courts & Coffee Shops,Catered Food,Clothing & Footwear,Clothing,Men's Clothing,Women's Clothing,Children's Clothing,Other Articles & Related Services,Footwear,Men's Footwear,Women's Footwear,Children's Footwear,Housing & Utilities,Accommodation3,Utilities & Other Fuels,Water Supply,Refuse Collection,Electricity,Gas,Household Durables & Services,Household Durables,Furniture,Furnishings,Other Household Textiles,Household Appliances,Utensils & Others,Household Services & Supplies,Non-durable Household Goods,Domestic & Household Services,Health Care,Medicines & Health Products,Medicines & Vitamins,Medical Products,Outpatient Services,Fees At Polyclinics,Fees At General Practitioners (GP) Clinics,Fees At Specialist Outpatient Clinics,Dental Services,Paramedical Services,Hospital Services,Health Insurance,Transport,Private Transport,Cars,Motorcycles,Petrol,Other Private Transport,Public Transport,Bus & Train Fares,Point-to-point Transport Services2,Other Public Transport,Other Transport Services,Air Fares,Other Transport,Communication,Postage & Courier Services,Telecommunication Equipment,Telecommunication Services,Recreation & Culture,Recreational & Cultural Goods,Information Processing Equipment,Audio-visual Equipment & Others,Games & Toys,Pets & Related Products,Other Recreational & Cultural Goods,Recreational & Cultural Services,Sport Services & Other Fees,Cinema Tickets,Charges To Places Of Interest,Other Recreational & Cultural Services,"Newspapers, Books & Stationery",Newspapers & Magazines,Books & Stationery,Holiday Expenses,Package Tours,Hotels & Other Expenses,Education,Tuition & Other Fees,Primary Education,Secondary Education,"Other General, Vocational & Higher Education",Enrichment & Supplementary Courses,Textbooks & Study Guides,Miscellaneous Goods & Services,Personal Care,Hairdressing,Personal Grooming Services,Other Personal Care,Alcoholic Drinks & Tobacco,Spirits & Wine,Beer,Cigarettes,Personal Effects,Jewellery & Watches,Other Personal Effects,Social Services,Other Miscellaneous Services,All Items Less Imputed Rentals On Owner-occupied Accommodation3,All Items Less Accommodation3
1966 H1,25.956,23.465,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,55.422,na,na,na,na,na,na,na,na,na,27.718,na,na,na,na,na,na,34.265,na,na,na,na,na,na,na,na,na,18.604,na,na,na,na,na,na,na,na,na,na,na,20.608,na,na,na,na,na,na,na,na,na,na,na,na,133.733,na,na,na,49.124,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,15.701,na,na,na,na,na,na,19.195,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1966 H2,26.099,23.664,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,55.207,na,na,na,na,na,na,na,na,na,27.778,na,na,na,na,na,na,34.889,na,na,na,na,na,na,na,na,na,18.604,na,na,na,na,na,na,na,na,na,na,na,20.616,na,na,na,na,na,na,na,na,na,na,na,na,133.733,na,na,na,49.124,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,15.701,na,na,na,na,na,na,19.213,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1967 H1,26.549,24.212,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,55.473,na,na,na,na,na,na,na,na,na,28.36,na,na,na,na,na,na,36.134,na,na,na,na,na,na,na,na,na,18.604,na,na,na,na,na,na,na,na,na,na,na,20.632,na,na,na,na,na,na,na,na,na,na,na,na,133.733,na,na,na,49.124,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,15.42,na,na,na,na,na,na,19.263,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1967 H2,27.199,25.149,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,55.376,na,na,na,na,na,na,na,na,na,28.53,na,na,na,na,na,na,37.401,na,na,na,na,na,na,na,na,na,18.604,na,na,na,na,na,na,na,na,na,na,na,20.632,na,na,na,na,na,na,na,na,na,na,na,na,133.733,na,na,na,49.124,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,15.42,na,na,na,na,na,na,19.317,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1968 H1,27.139,24.953,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,55.662,na,na,na,na,na,na,na,na,na,28.679,na,na,na,na,na,na,37.38,na,na,na,na,na,na,na,na,na,18.701,na,na,na,na,na,na,na,na,na,na,na,20.632,na,na,na,na,na,na,na,na,na,na,na,na,133.733,na,na,na,49.124,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,15.179,na,na,na,na,na,na,19.669,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1968 H2,26.976,24.497,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,55.812,na,na,na,na,na,na,na,na,na,28.898,na,na,na,na,na,na,37.633,na,na,na,na,na,na,na,na,na,19.06,na,na,na,na,na,na,na,na,na,na,na,20.632,na,na,na,na,na,na,na,na,na,na,na,na,133.733,na,na,na,49.124,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,15.179,na,na,na,na,na,na,20.317,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1969 H1,26.912,24.184,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,56.728,na,na,na,na,na,na,na,na,na,29.294,na,na,na,na,na,na,37.14,na,na,na,na,na,na,na,na,na,20.454,na,na,na,na,na,na,na,na,na,na,na,20.675,na,na,na,na,na,na,na,na,na,na,na,na,133.733,na,na,na,49.124,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,15.499,na,na,na,na,na,na,20.624,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1969 H2,27.066,24.317,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,57.129,na,na,na,na,na,na,na,na,na,29.57,na,na,na,na,na,na,37.529,na,na,na,na,na,na,na,na,na,20.454,na,na,na,na,na,na,na,na,na,na,na,20.675,na,na,na,na,na,na,na,na,na,na,na,na,133.733,na,na,na,49.124,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,15.499,na,na,na,na,na,na,20.741,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1970 H1,27.002,24.066,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,57.098,na,na,na,na,na,na,na,na,na,29.439,na,na,na,na,na,na,38.145,na,na,na,na,na,na,na,na,na,20.454,na,na,na,na,na,na,na,na,na,na,na,20.652,na,na,na,na,na,na,na,na,na,na,na,na,133.733,na,na,na,49.124,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,15.82,na,na,na,na,na,na,21.402,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1970 H2,27.157,24.193,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,57.347,na,na,na,na,na,na,na,na,na,29.857,na,na,na,na,na,na,37.882,na,na,na,na,na,na,na,na,na,20.454,na,na,na,na,na,na,na,na,na,na,na,20.652,na,na,na,na,na,na,na,na,na,na,na,na,133.733,na,na,na,49.124,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,15.82,na,na,na,na,na,na,21.537,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
