,All Items,Food,Food Excl Food Serving Services,Bread & Cereals,Rice,Flour,Bread,Noodles & Pasta,Biscuits & Cookies,Cakes & Pastries,Other Cereals,Meat,"Pork, Chilled","Beef, Chilled","Mutton, Chilled","Poultry, Chilled","Meat, Frozen",Meat Preparations,Fish & Seafood,"Fish, Chilled","Fish, Frozen",Other Seafood,Seafood Preparations,"Milk, Cheese & Eggs",Formula Milk Powder,Other Milk & Dairy Products,Eggs,Oils & Fats,Butter & Other Fats,Cooking Oils,Fruits,"Tropical Fruits, Fresh","Citrus, Berries & Other Fruits, Fresh",Preserved Fruits & Nuts,Vegetables,"Leafy Vegetables, Fresh","Fruit Vegetables, Fresh","Root Vegetables, Fresh",Other Vegetables & Preparations,"Sugar, Preserves & Confectionery",Sugar,Confectionery & Ice-cream,Sugar Preserves & Spread,Non-alcoholic Beverages,Coffee & Tea,Soft Drinks,Other Beverages,Other Food,Food Serving Services,Restaurant Food,Fast Food,Hawker Food,Hawker Centres,Food Courts & Coffee Shops,Catered Food,Clothing & Footwear,Clothing,Men's Clothing,Women's Clothing,Children's Clothing,Other Articles & Related Services,Footwear,Men's Footwear,Women's Footwear,Children's Footwear,Housing & Utilities,Accommodation3,Utilities & Other Fuels,Water Supply,Refuse Collection,Electricity,Gas,Household Durables & Services,Household Durables,Furniture,Furnishings,Other Household Textiles,Household Appliances,Utensils & Others,Household Services & Supplies,Non-durable Household Goods,Domestic & Household Services,Health Care,Medicines & Health Products,Medicines & Vitamins,Medical Products,Outpatient Services,Fees At Polyclinics,Fees At General Practitioners (GP) Clinics,Fees At Specialist Outpatient Clinics,Dental Services,Paramedical Services,Hospital Services,Health Insurance,Transport,Private Transport,Cars,Motorcycles,Petrol,Other Private Transport,Public Transport,Bus & Train Fares,Point-to-point Transport Services2,Other Public Transport,Other Transport Services,Air Fares,Other Transport,Communication,Postage & Courier Services,Telecommunication Equipment,Telecommunication Services,Recreation & Culture,Recreational & Cultural Goods,Information Processing Equipment,Audio-visual Equipment & Others,Games & Toys,Pets & Related Products,Other Recreational & Cultural Goods,Recreational & Cultural Services,Sport Services & Other Fees,Cinema Tickets,Charges To Places Of Interest,Other Recreational & Cultural Services,"Newspapers, Books & Stationery",Newspapers & Magazines,Books & Stationery,Holiday Expenses,Package Tours,Hotels & Other Expenses,Education,Tuition & Other Fees,Primary Education,Secondary Education,"Other General, Vocational & Higher Education ",Enrichment & Supplementary Courses ,Textbooks & Study Guides,Miscellaneous Goods & Services,Personal Care,Hairdressing,Personal Grooming Services,Other Personal Care,Alcoholic Drinks & Tobacco,Spirits & Wine,Beer,Cigarettes,Personal Effects,Jewellery & Watches,Other Personal Effects,Social Services,Other Miscellaneous Services,All Items Less Imputed Rentals On Owner-occupied Accommodation3,All Items Less Accommodation3
1971,27.589,24.681,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,58.774,na,na,na,na,na,na,na,na,na,30.312,na,na,na,na,na,na,38.384,na,na,na,na,na,na,na,na,na,20.417,na,na,na,na,na,na,na,na,na,na,na,20.648,na,na,na,na,na,na,na,na,na,na,na,na,133.733,na,na,na,50.421,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,15.632,na,na,na,na,na,na,21.607,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1972,28.18,25.286,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,59.849,na,na,na,na,na,na,na,na,na,30.791,na,na,na,na,na,na,38.773,na,na,na,na,na,na,na,na,na,20.167,na,na,na,na,na,na,na,na,na,na,na,20.655,na,na,na,na,na,na,na,na,na,na,na,na,133.733,na,na,na,50.616,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,15.692,na,na,na,na,na,na,22.362,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1973,33.708,33.829,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,69.726,na,na,na,na,na,na,na,na,na,31.854,na,na,na,na,na,na,44.184,na,na,na,na,na,na,na,na,na,20.739,na,na,na,na,na,na,na,na,na,na,na,20.742,na,na,na,na,na,na,na,na,na,na,na,na,133.733,na,na,na,51.544,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,16.152,na,na,na,na,na,na,24.676,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1974,41.247,42.481,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,76.778,na,na,na,na,na,na,na,na,na,36.361,na,na,na,na,na,na,55.399,na,na,na,na,na,na,na,na,na,24.341,na,na,na,na,na,na,na,na,na,na,na,29.12,na,na,na,na,na,na,na,na,na,na,na,na,133.733,na,na,na,55.754,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,16.919,na,na,na,na,na,na,28.354,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1975,42.311,42.929,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,75.768,na,na,na,na,na,na,na,na,na,38.923,na,na,na,na,na,na,57.854,na,na,na,na,na,na,na,na,na,25.926,na,na,na,na,na,na,na,na,na,na,na,30.354,na,na,na,na,na,na,na,na,na,na,na,na,133.733,na,na,na,56.304,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,17.269,na,na,na,na,na,na,30.596,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1976,41.508,40.275,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,76.288,na,na,na,na,na,na,na,na,na,41.541,na,na,na,na,na,na,57.343,na,na,na,na,na,na,na,na,na,26.625,na,na,na,na,na,na,na,na,na,na,na,31.662,na,na,na,na,na,na,na,na,na,na,na,na,133.733,na,na,na,56.407,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,17.418,na,na,na,na,na,na,31.313,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1977,42.831,42.295,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,77.418,na,na,na,na,na,na,na,na,na,42.009,na,na,na,na,na,na,58.486,na,na,na,na,na,na,na,na,na,27.051,na,na,na,na,na,na,na,na,na,na,na,31.851,na,na,na,na,na,na,na,na,na,na,na,na,133.733,na,na,na,56.399,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,17.751,na,na,na,na,na,na,32.032,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1978,44.573,44.696,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,78.886,na,na,na,na,na,na,na,na,na,41.998,na,na,na,na,na,na,59.579,na,na,na,na,na,na,na,na,na,28.204,na,na,na,na,na,na,na,na,na,na,na,33.54,na,na,na,na,na,na,na,na,na,na,na,na,137.824,na,na,na,60.518,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,18.685,na,na,na,na,na,na,33.142,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1979,46.358,45.815,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,81.671,na,na,na,na,na,na,na,na,na,44.134,na,na,na,na,na,na,62.184,na,na,na,na,na,na,na,na,na,29.245,na,na,na,na,na,na,na,na,na,na,na,36.872,na,na,na,na,na,na,na,na,na,na,na,na,139.199,na,na,na,63.459,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,19.506,na,na,na,na,na,na,33.59,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1980,50.317,49.687,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,83.202,na,na,na,na,na,na,na,na,na,50.156,na,na,na,na,na,na,65.815,na,na,na,na,na,na,na,na,na,31.315,na,na,na,na,na,na,na,na,na,na,na,42.146,na,na,na,na,na,na,na,na,na,na,na,na,139.199,na,na,na,65.411,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,21.133,na,na,na,na,na,na,36.505,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
